Nome do Cidadão;Dias para Resposta;Pedido;Status do Pedido;Identidade de gênero;Cor;Estado 
Cidadão 1;126;O meu auxílio foi bloqueado injustamente, estou recorrendo a mais de quatro meses, pois estou desempregado e tenho direito ao auxílio e tenho a necessidade desse direito que é meu por lei, já tentei contato várias vezes nas agências e eles me direcionam pra esse site e até hoje não resolveram a minha situação, não estou em nenhum tipo de fraude, minha documentação estar em dia e estou Apto para mais esclarecimentos se precisar.;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;96;Fui aprovada recentemente para receber a extensão do auxílio emergêncial, mas no site da Dataprev costa que não fui aprovada e tbm não consta meu número no grupo familiar que estou cadastrada, mas quando entre no app do auxílio emergêncial diz que fui aprovada, porém minha conta está zerada. O que posso fazer ?;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 3;171;Sou aluno do curso Tecnólogo em Gestão em Financeira com duração de 2 anos, matriculado regularmente, todavia a instituição não ofertou para o semestre de 2021-1, as disciplinas curriculares obrigatórias, necessárias para a conclusão do curso.  Questiono se a instituição pode se abster de ofertar as disciplinas obrigatórias, em caráter regular, tendo em vista a autorização de reconhecimento do curso expedida pelo MEC – Portaria 274 de 03.04.2017 – DOU de 04.04.2017,  do curso Tecnólogo em Gestão Financeira, ofertado pela instituição FGV EBAPE.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 4;387;Aos responsáveis pela administração pública do IFES,    Venho por meio desta, ancorada na Lei de Acesso a Informação, solicitar informes no referente a PORTARIA Nº 1.333, DE 7 DE JULHO DE 2020. Tal portaria posiciona a suspensão do prazo de validade de concursos referendados pela instituição. Neste sentido, peticiono informes:  1) A Portaria suspende apenas a validade dos concursos, devido a calamidade pública, ou suspende também os efeitos destes juntamente com a validade - passando a vigorar novamente com o cessar da Portaria 1333/2020. Digo isso devido a convocação realizadas pela própria instituição em 002/12/2020  - a exemplo do edital 01/2018 (https://www.ifes.edu.br/images/stories/-publicacoes/processos-seletivos/servidores/2018/2018-01/edital-convocacao-nomeacao-XVI.pdf), 03/2016 (https://www.ifes.edu.br/images/stories/-publicacoes/processos-seletivos/servidores/2016/2016-03/edital_convocacao_para_nomeacao_-XXXVII-DOCENTES-MESTRES-E-DOUT.pdf) e 02/2016 (https://www.ifes.edu.br/images/stories/-publicacoes/processos-seletivos/servidores/2016/2016-02/edital_convocacao_para_nomeacao_-XV-DOCENTES-GRAD-E-ESP.pdf).  2) Se a portaria encontra-se em vigência ou foi substituída ou cessada por outra portaria, neste caso requer-se informação de quais as portarias que substituem-cessam a 1333/2020.  3) A indicação das portarias e bases legais que permitem a suspensão do prazo de validade, e continue-se convocando.    Neste sentido, peticiona-se.;Acesso Negado;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 5;59;Prezados   Boa noite   Qual é a legislação que deve ser atendida para registrar colágeno em pô.?  No aguardo   Atenciosamente   Gabriel Segalis;Acesso Concedido;Homem Cisgênero;Parda;Pernambuco (PE)
Cidadão 6;49;Não estou recebendo os 300 do auxílio emergencial. Estou desempregado.;Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Minas Gerais (MG)
Cidadão 7;81;Senhores, solicito a informação sobre o total de bombas submetidas ao serviço de verificação inicial na instalação do fabricante realizado pelo Ipem-RJ no mês de novembro de 2020. Neste relatório não precisarei do total de bicos, somente da quantidade de bombas.;Acesso Concedido;Mulher Cisgênero;Branca;Pará (PA)
Cidadão 8;77;Solicito quantitativo de bicos submetidos ao serviço de verificação inicial nas instalações do fabricante nos mês de novembro de 2020. Gostaria de que fosse informado o total de bicos lacrados segmentado pelo nome do fabricante.;Acesso Concedido;Homem Cisgênero;Amarela;Bahia (BA)
Cidadão 9;192;Olá Servidores, Instituto Federal da Bahia. Espero que estejam bem. Venho por meio deste canal solicitar as seguintes informações:  1)  Qual é a posição oficial da Instituição sobre aproveitamentos de concursos, quando uma outra Instituição solicita ao IFBA. (CONCURSO Vigente Docente EBTT). O edital referido prevê aproveitamentos   2)  Quais foram as Instituições que solicitaram ao IFBA pedido de aproveitamento nos últimos 30 dias, se for possível verificar no S.E.I público qual é o procedimento?  3) Foram  solicitados aproveitamentos para   professor de Engenharia e Higiene e Segurança do Trabalho.  Obrigado pelas informações;Acesso Concedido;Mulher Cisgênero;Preta;Paraíba (PB)
Cidadão 10;199;Segundo a RN 63/2003 da ANS o Art 3º diz que:  Art. 3º Os percentuais de variação em cada mudança de faixa etária deverão ser fixados pela operadora, observadas as seguintes condições:  I - o valor fixado para a última faixa etária não poderá ser superior a seis vezes o valor da primeira faixa etária,  II - a variação acumulada entre a sétima e a décima faixas não poderá ser superior à variação acumulada entre a primeira e a sétima faixas.    Gostaria de entender como deve ser feito o cálculo para verificar se o plano de saúde esta atendendo este item da RN 63. Devemos somar os percentuais??   Na norma não deixa claro como a conta deve ser realizada. é possível explicar de forma didática??;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Amarela;Minas Gerais (MG)
